Id,Name,RatingDist1,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Genre,PublicationYear
561613,The Glass Castle,1:10930,4:300012,total:867702,1,9,Virago Press (UK),203,2010,eng,Jeannette Walls,4.27,2:23990,5:425667,1844081826,3:107103,,
767680,If You Give a Mouse a Cookie (If You Give...),1:4340,4:59720,total:243700,6,10,HarperCollins,3841,2015,eng,Laura Joffe Numeroff,4.26,2:9488,5:132544,0060245867,3:37608,,
8745,Desert Flower,1:105,4:6940,total:18162,15,3,William Morrow Paperbacks,747,2011,eng,Waris Dirie,4.16,2:569,5:7473,0688172377,3:3075,,
109961,Damage,1:145,4:1399,total:4009,10,8,Open Road Media Integrated Media,355,2010,eng,Josephine Hart,3.68,2:376,5:996,,3:1093,,
3084415,The Alchemist's Secret (Ben Hope #1),1:130,4:3075,total:8097,7,21,Avon,314,2011,en-GB,Scott Mariani,3.95,2:412,5:2657,1847563406,3:1823,Elixir of life,
1392018,Watch for the Light: Readings for Advent and Christmas,1:14,4:496,total:1285,22,9,Plough Publishing House,146,2014,eng,Thomas Aquinas,4.12,2:45,5:510,087486917X,3:220,,
3047848,"Heartless (Pretty Little Liars, #7)",1:483,4:12131,total:38480,1,19,Harper Teen,1139,2010,eng,Sara Shepard,4.07,2:1863,5:15867,0061566152,3:8136,Juvenile Fiction,
141679,"The Betrayal (Abram's Daughters, #2)",1:38,4:3062,total:8328,1,2,Bethany House Publishers,287,2013,eng,Beverly Lewis,4.22,2:174,5:3680,0764223313,3:1374,Fiction,
3013700,First Sight,1:335,4:1522,total:5685,7,16,Delacorte Press,435,2013,,Danielle Steel,3.63,2:673,5:1696,0385338309,3:1459,Fiction,
1583121,A Wizard of Mars,1:24,4:1073,total:2904,12,4,Harcourt,140,2010,eng,Diane Duane,4.12,2:95,5:1163,0152047700,3:549,,2010
8852,Macbeth,1:13271,4:224217,total:641361,1,7,Simon  Schuster,7945,2013,eng,William Shakespeare,3.9,2:41837,5:210574,0743477103,3:151462,,
945210,A Lion to Guard Us,1:43,4:605,total:1722,23,10,HarperCollins,160,2018,eng,Clyde Robert Bulla,3.75,2:112,5:445,0064403335,3:517,,1989
247368,Affair,1:53,4:2215,total:5944,28,4,Bantam Books,164,2010,eng,Amanda Quick,3.87,2:280,5:1670,0553574078,3:1726,,
785247,Suddenly,1:51,4:1258,total:3371,23,2,Avon,168,2010,,Barbara Delinsky,3.85,2:177,5:948,0061042005,3:937,,
2931120,Gray,1:43,4:597,total:2143,2,19,MTV Books,275,2013,eng,Pete Wentz,4.13,2:119,5:1013,1416567828,3:371,Fiction,2013
295651,"Under the Jolly Roger: Being an Account of the Further Nautical Adventures of Jacky Faber (Bloody Jack, #3)",1:52,4:3570,total:10251,18,10,HMH Books for Young Readers,502,2010,,L.A. Meyer,4.32,2:182,5:5129,0152058737,3:1318,Adventure stories,
2878252,The Trouble with Kings,1:42,4:896,total:2300,3,10,Book View Cafe,174,2015,eng,Sherwood Smith,3.82,2:161,5:612,,3:589,,
589278,He: Understanding Masculine Psychology,1:39,4:730,total:2206,24,3,Harper Perennial,121,2020,,Robert A. Johnson,4.05,2:111,5:885,0060963964,3:441,,2009
243353,"The Coroner's Lunch (Dr. Siri Paiboun, #1)",1:132,4:5358,total:11565,7,4,Soho Crime,1335,2015,eng,Colin Cotterill,3.98,2:392,5:3287,1569474184,3:2396,,
149150,Giant,1:23,4:995,total:2517,23,4,Harper Perennial Modern Classics,233,2019,eng,Edna Ferber,4.0,2:107,5:840,0060956704,3:552,Fiction,
1047154,Heal Your Headache,1:28,4:334,total:1015,15,1,Workman Publishing Company,136,2019,eng,David Buchholz,3.88,2:83,5:348,0761125663,3:222,Health & Fitness,
99245,Nightfall,1:272,4:11333,total:29879,27,1,Bantam Books,666,2012,eng,Isaac Asimov,4.05,2:1185,5:10831,0553290991,3:6258,,
80213,Anthills of the Savannah,1:72,4:1286,total:3398,29,1,Penguin,132,2012,eng,Chinua Achebe,3.83,2:236,5:963,,3:841,,
564758,Lost at Sea,1:217,4:4462,total:12633,24,7,Oni Press,1031,2012,eng,Bryan Lee O'Malley,3.73,2:1066,5:3107,1932664165,3:3781,Young Adult Fiction,
2495398,The Coral Thief,1:84,4:516,total:1760,3,1,George Weidenfeld & Nicholson,230,2010,,Rebecca Stott,3.21,2:303,5:163,0297851373,3:694,Anatomists,
2662689,The Secrets of Married Women,1:134,4:2135,total:6072,1,31,,120,2012,eng,Carol Mason,3.89,2:386,5:1962,,3:1455,,
724667,The Gods Themselves,1:409,4:19751,total:51003,4,5,Bantam/Spectra,151,2011,eng,Isaac Asimov,4.09,2:1731,5:19287,0553288105,3:9825,,
231862,"Pétalos al viento (Dollanganger, #2)",1:1179,4:17203,total:52373,20,10,Debolsillo,195,2015,spa,V.C. Andrews,3.82,2:4038,5:16196,,3:13757,,
1852624,The Devil's Company (Benjamin Weaver #3),1:30,4:1522,total:3205,1,8,Random House (NY),256,2010,eng,David Liss,3.95,2:96,5:843,1400064198,3:714,Fiction,
40532,Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,1:85,4:1097,total:3198,7,4,HarperOne,191,2015,en-US,Marcus J. Borg,4.14,2:102,5:1405,0060609192,3:509,,
296444,Turnabout,1:152,4:2393,total:6647,27,3,Simon Pulse,393,2012,,Margaret Peterson Haddix,3.73,2:536,5:1636,141693653X,3:1930,Young Adult Fiction,2007
